*  HI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.203285  7.01270e-29
     0.203721  7.02357e-29
     0.204158  7.03467e-29
     0.204596  7.04597e-29
     0.205035  7.05749e-29
     0.205475  7.06927e-29
     0.205916  7.08129e-29
     0.206357  7.09352e-29
     0.206800  7.10594e-29
     0.207244  7.11860e-29
     0.207689  7.13146e-29
     0.208134  7.14448e-29
     0.208581  7.15765e-29
     0.209028  7.17098e-29
     0.209477  7.18447e-29
     0.209926  7.19803e-29
     0.210377  7.21162e-29
     0.210828  7.22524e-29
     0.211280  7.23888e-29
     0.211734  7.25252e-29
     0.212188  7.26613e-29
     0.212643  7.27971e-29
     0.213100  7.29315e-29
     0.213557  7.30646e-29
     0.214015  7.31974e-29
     0.214474  7.33286e-29
     0.214934  7.34581e-29
     0.215396  7.35863e-29
     0.215858  7.37123e-29
     0.216321  7.38368e-29
     0.216785  7.39598e-29
     0.217250  7.40798e-29
     0.217716  7.41985e-29
     0.218183  7.43164e-29
     0.218652  7.44321e-29
     0.219121  7.45455e-29
     0.219591  7.46577e-29
     0.220062  7.47690e-29
     0.220534  7.48782e-29
     0.221007  7.49858e-29
     0.221481  7.50931e-29
     0.221957  7.51995e-29
     0.222433  7.53049e-29
     0.222910  7.54098e-29
     0.223388  7.55145e-29
     0.223868  7.56194e-29
     0.224348  7.57247e-29
     0.224829  7.58301e-29
     0.225312  7.59362e-29
     0.225795  7.60439e-29
     0.226280  7.61530e-29
     0.226765  7.62631e-29
     0.227252  7.63748e-29
     0.227739  7.64889e-29
     0.228228  7.66053e-29
     0.228718  7.67238e-29
     0.229208  7.68448e-29
     0.229700  7.69689e-29
     0.230193  7.70954e-29
     0.230687  7.72239e-29
     0.231182  7.73558e-29
     0.231678  7.74899e-29
     0.232175  7.76261e-29
     0.232673  7.77655e-29
     0.233173  7.79064e-29
     0.233673  7.80490e-29
     0.234174  7.81947e-29
     0.234677  7.83414e-29
     0.235180  7.84886e-29
     0.235685  7.86368e-29
     0.236190  7.87862e-29
     0.236697  7.89357e-29
     0.237205  7.90851e-29
     0.237714  7.92348e-29
     0.238224  7.93838e-29
     0.238735  7.95318e-29
     0.239247  7.96791e-29
     0.239761  7.98248e-29
     0.240275  7.99689e-29
     0.240791  8.01121e-29
     0.241307  8.02526e-29
     0.241825  8.03910e-29
     0.242344  8.05282e-29
     0.242864  8.06627e-29
     0.243385  8.07946e-29
     0.243907  8.09245e-29
