*  HeI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.241307  6.70210e-31
     0.241825  6.72736e-31
     0.242344  6.74746e-31
     0.242864  6.76267e-31
     0.243385  6.77291e-31
     0.243907  6.77772e-31
     0.244431  6.77729e-31
     0.244955  6.77179e-31
     0.245481  6.76186e-31
     0.246007  6.74743e-31
     0.246535  6.72867e-31
     0.247064  6.70663e-31
     0.247594  6.68111e-31
     0.248125  6.65285e-31
     0.248658  6.62213e-31
     0.249191  6.58968e-31
     0.249726  6.55706e-31
     0.250262  6.52436e-31
     0.250799  6.49187e-31
     0.251337  6.46133e-31
     0.251876  6.43337e-31
     0.252417  6.40870e-31
     0.252958  6.38849e-31
     0.253501  6.37249e-31
     0.254045  6.36223e-31
     0.254590  6.35931e-31
     0.255136  6.36260e-31
     0.255684  6.37278e-31
     0.256232  6.39079e-31
     0.256782  6.41605e-31
     0.257333  6.44878e-31
     0.257885  6.48951e-31
     0.258438  6.53682e-31
     0.258993  6.58990e-31
     0.259549  6.64987e-31
     0.260106  6.71525e-31
     0.260664  6.78479e-31
     0.261223  6.85884e-31
     0.261783  6.93659e-31
     0.262345  7.01639e-31
     0.262908  7.09860e-31
     0.263472  7.18370e-31
     0.264037  7.26928e-31
     0.264604  7.35521e-31
     0.265172  7.44284e-31
     0.265741  7.53044e-31
     0.266311  7.61712e-31
     0.266882  7.70393e-31
     0.267455  7.78973e-31
     0.268029  7.87440e-31
     0.268604  7.95771e-31
     0.269180  8.03902e-31
     0.269758  8.11830e-31
     0.270336  8.19489e-31
     0.270916  8.26876e-31
     0.271498  8.33864e-31
     0.272080  8.40401e-31
     0.272664  8.46590e-31
     0.273249  8.52354e-31
     0.273835  8.57548e-31
     0.274423  8.62185e-31
     0.275012  8.66325e-31
     0.275602  8.69921e-31
     0.276193  8.72795e-31
     0.276786  8.74978e-31
     0.277380  8.76668e-31
     0.277975  8.77834e-31
     0.278571  8.78313e-31
     0.279169  8.78107e-31
     0.279768  8.77392e-31
     0.280368  8.76247e-31
     0.280970  8.74661e-31
     0.281573  8.72669e-31
     0.282177  8.70220e-31
     0.282782  8.67553e-31
     0.283389  8.64885e-31
     0.283997  8.62026e-31
     0.284606  8.59137e-31
     0.285217  8.56395e-31
     0.285829  8.53882e-31
     0.286442  8.51724e-31
     0.287057  8.49960e-31
     0.287673  8.48692e-31
     0.288290  8.47897e-31
     0.288908  8.47670e-31
     0.289528  8.48179e-31
     0.290150  8.49444e-31
     0.290772  8.51463e-31
     0.291396  8.54184e-31
     0.292021  8.57505e-31
     0.292648  8.61447e-31
     0.293276  8.65963e-31
     0.293905  8.70960e-31
     0.294536  8.76515e-31
     0.295167  8.82412e-31
     0.295801  8.88597e-31
     0.296435  8.94989e-31
     0.297071  9.01465e-31
     0.297709  9.08026e-31
     0.298348  9.14644e-31
     0.298988  9.21259e-31
     0.299629  9.27848e-31
     0.300272  9.34390e-31
     0.300916  9.40857e-31
     0.301562  9.47196e-31
     0.302209  9.53418e-31
     0.302858  9.59636e-31
     0.303507  9.65792e-31
     0.304159  9.71731e-31
     0.304811  9.77600e-31
     0.305465  9.83448e-31
     0.306121  9.89314e-31
     0.306777  9.94954e-31
     0.307436  1.00035e-30
     0.308095  1.00563e-30
     0.308756  1.01091e-30
     0.309419  1.01617e-30
     0.310083  1.02113e-30
     0.310748  1.02564e-30
     0.311415  1.02982e-30
     0.312083  1.03378e-30
     0.312753  1.03747e-30
     0.313424  1.04070e-30
     0.314096  1.04333e-30
     0.314770  1.04544e-30
     0.315445  1.04702e-30
     0.316122  1.04789e-30
     0.316800  1.04814e-30
     0.317480  1.04785e-30
     0.318161  1.04693e-30
     0.318844  1.04533e-30
     0.319528  1.04315e-30
     0.320214  1.04043e-30
     0.320901  1.03719e-30
     0.321589  1.03349e-30
     0.322279  1.02939e-30
     0.322971  1.02500e-30
     0.323664  1.02060e-30
     0.324358  1.01617e-30
     0.325054  1.01181e-30
     0.325752  1.00751e-30
     0.326451  1.00348e-30
     0.327151  9.99862e-31
     0.327853  9.96769e-31
     0.328556  9.94375e-31
     0.329261  9.92747e-31
     0.329968  9.91779e-31
     0.330676  9.91539e-31
     0.331385  9.92224e-31
     0.332096  9.93728e-31
     0.332809  9.96063e-31
     0.333523  9.99280e-31
     0.334239  1.00330e-30
     0.334956  1.00794e-30
     0.335674  1.01319e-30
     0.336395  1.01915e-30
     0.337116  1.02568e-30
     0.337840  1.03261e-30
     0.338565  1.03985e-30
     0.339291  1.04749e-30
     0.340019  1.05553e-30
     0.340749  1.06394e-30
     0.341480  1.07258e-30
     0.342212  1.08118e-30
     0.342947  1.08996e-30
     0.343682  1.09908e-30
     0.344420  1.10834e-30
     0.345159  1.11775e-30
     0.345899  1.12697e-30
     0.346642  1.13612e-30
     0.347385  1.14521e-30
     0.348131  1.15424e-30
     0.348878  1.16310e-30
     0.349626  1.17152e-30
     0.350376  1.17946e-30
     0.351128  1.18701e-30
     0.351882  1.19417e-30
     0.352636  1.20091e-30
     0.353393  1.20693e-30
     0.354151  1.21219e-30
     0.354911  1.21682e-30
     0.355673  1.22069e-30
     0.356436  1.22379e-30
     0.357201  1.22604e-30
     0.357967  1.22743e-30
     0.358735  1.22816e-30
     0.359505  1.22811e-30
     0.360276  1.22704e-30
     0.361049  1.22508e-30
     0.361824  1.22225e-30
     0.362600  1.21847e-30
     0.363378  1.21408e-30
     0.364158  1.20909e-30
     0.364939  1.20316e-30
     0.365722  1.19668e-30
     0.366507  1.18967e-30
     0.367293  1.18204e-30
     0.368081  1.17405e-30
     0.368871  1.16600e-30
     0.369663  1.15770e-30
     0.370456  1.14943e-30
     0.371251  1.14157e-30
     0.372047  1.13391e-30
     0.372845  1.12660e-30
     0.373645  1.12022e-30
     0.374447  1.11469e-30
     0.375251  1.10998e-30
     0.376056  1.10667e-30
     0.376863  1.10463e-30
     0.377671  1.10382e-30
     0.378481  1.10463e-30
     0.379294  1.10699e-30
     0.380107  1.11078e-30
     0.380923  1.11610e-30
     0.381740  1.12306e-30
     0.382559  1.13151e-30
     0.383380  1.14129e-30
     0.384203  1.15214e-30
     0.385027  1.16394e-30
     0.385853  1.17675e-30
     0.386681  1.19049e-30
     0.387511  1.20494e-30
     0.388342  1.21960e-30
     0.389175  1.23433e-30
     0.390010  1.24954e-30
     0.390847  1.26496e-30
     0.391686  1.28024e-30
     0.392526  1.29509e-30
     0.393368  1.30986e-30
     0.394213  1.32461e-30
     0.395058  1.33898e-30
     0.395906  1.35270e-30
     0.396755  1.36597e-30
     0.397607  1.37897e-30
     0.398460  1.39143e-30
     0.399315  1.40321e-30
     0.400171  1.41421e-30
     0.401030  1.42462e-30
     0.401891  1.43465e-30
     0.402753  1.44383e-30
     0.403617  1.45201e-30
     0.404483  1.45928e-30
     0.405351  1.46588e-30
     0.406221  1.47153e-30
     0.407092  1.47626e-30
     0.407966  1.48013e-30
     0.408841  1.48276e-30
     0.409718  1.48432e-30
     0.410597  1.48504e-30
     0.411478  1.48458e-30
     0.412361  1.48302e-30
     0.413246  1.48048e-30
     0.414133  1.47684e-30
     0.415021  1.47221e-30
     0.415912  1.46651e-30
     0.416804  1.45982e-30
     0.417698  1.45231e-30
     0.418595  1.44408e-30
     0.419493  1.43504e-30
     0.420393  1.42538e-30
     0.421295  1.41530e-30
     0.422199  1.40482e-30
     0.423105  1.39418e-30
     0.424012  1.38362e-30
     0.424922  1.37316e-30
     0.425834  1.36293e-30
     0.426748  1.35330e-30
     0.427663  1.34454e-30
     0.428581  1.33683e-30
     0.429500  1.33011e-30
     0.430422  1.32458e-30
     0.431345  1.32055e-30
     0.432271  1.31826e-30
     0.433198  1.31794e-30
     0.434128  1.31940e-30
     0.435059  1.32254e-30
     0.435993  1.32761e-30
     0.436928  1.33475e-30
     0.437866  1.34393e-30
     0.438805  1.35499e-30
     0.439747  1.36758e-30
     0.440690  1.38178e-30
     0.441636  1.39723e-30
     0.442583  1.41415e-30
     0.443533  1.43223e-30
     0.444485  1.45102e-30
     0.445438  1.47035e-30
     0.446394  1.49021e-30
     0.447352  1.51041e-30
     0.448312  1.53066e-30
     0.449274  1.55056e-30
     0.450238  1.57026e-30
     0.451204  1.59005e-30
     0.452172  1.60933e-30
     0.453142  1.62825e-30
     0.454114  1.64641e-30
     0.455089  1.66383e-30
     0.456065  1.68080e-30
     0.457044  1.69681e-30
     0.458024  1.71183e-30
     0.459007  1.72627e-30
     0.459992  1.74006e-30
     0.460979  1.75297e-30
     0.461968  1.76515e-30
     0.462959  1.77607e-30
     0.463952  1.78551e-30
     0.464948  1.79417e-30
     0.465945  1.80193e-30
     0.466945  1.80857e-30
     0.467947  1.81470e-30
     0.468951  1.81972e-30
     0.469957  1.82305e-30
     0.470966  1.82543e-30
     0.471976  1.82703e-30
     0.472989  1.82744e-30
     0.474004  1.82692e-30
     0.475021  1.82568e-30
     0.476040  1.82331e-30
     0.477061  1.81983e-30
     0.478085  1.81569e-30
     0.479111  1.81091e-30
     0.480139  1.80516e-30
     0.481169  1.79842e-30
     0.482201  1.79101e-30
     0.483236  1.78316e-30
     0.484273  1.77485e-30
     0.485312  1.76609e-30
     0.486353  1.75621e-30
     0.487397  1.74567e-30
     0.488442  1.73499e-30
     0.489490  1.72422e-30
     0.490541  1.71313e-30
     0.491593  1.70160e-30
     0.492648  1.68961e-30
     0.493705  1.67754e-30
     0.494764  1.66554e-30
     0.495826  1.65389e-30
     0.496890  1.64330e-30
     0.497956  1.63251e-30
     0.499024  1.62221e-30
     0.500095  1.61262e-30
     0.501168  1.60496e-30
     0.502243  1.59851e-30
     0.503321  1.59303e-30
     0.504401  1.58869e-30
     0.505483  1.58651e-30
     0.506567  1.58660e-30
     0.507654  1.58867e-30
     0.508744  1.59254e-30
     0.509835  1.59795e-30
     0.510929  1.60520e-30
     0.512025  1.61426e-30
     0.513124  1.62478e-30
     0.514225  1.63714e-30
     0.515328  1.65057e-30
     0.516434  1.66536e-30
     0.517542  1.68100e-30
     0.518652  1.69705e-30
     0.519765  1.71348e-30
     0.520880  1.72998e-30
     0.521998  1.74705e-30
     0.523118  1.76466e-30
     0.524241  1.78219e-30
     0.525365  1.79959e-30
     0.526493  1.81667e-30
     0.527622  1.83346e-30
     0.528754  1.85034e-30
     0.529889  1.86721e-30
     0.531026  1.88405e-30
     0.532165  1.90064e-30
     0.533307  1.91703e-30
     0.534451  1.93366e-30
     0.535598  1.95024e-30
     0.536747  1.96678e-30
     0.537899  1.98325e-30
     0.539053  1.99966e-30
     0.540209  2.01649e-30
     0.541369  2.03398e-30
     0.542530  2.05153e-30
     0.543694  2.06868e-30
     0.544861  2.08589e-30
     0.546030  2.10314e-30
     0.547201  2.12092e-30
     0.548375  2.13914e-30
     0.549552  2.15619e-30
     0.550731  2.17265e-30
     0.551913  2.18926e-30
     0.553097  2.20521e-30
     0.554284  2.22057e-30
     0.555473  2.23517e-30
     0.556665  2.24813e-30
     0.557859  2.25959e-30
     0.559056  2.27021e-30
     0.560256  2.27938e-30
     0.561458  2.28650e-30
     0.562662  2.29236e-30
     0.563870  2.29681e-30
     0.565080  2.29873e-30
     0.566292  2.29881e-30
     0.567507  2.29729e-30
     0.568725  2.29358e-30
     0.569945  2.28791e-30
     0.571168  2.28070e-30
     0.572393  2.27197e-30
     0.573622  2.26141e-30
     0.574852  2.24914e-30
     0.576086  2.23541e-30
     0.577322  2.22034e-30
     0.578560  2.20420e-30
     0.579802  2.18712e-30
     0.581046  2.16936e-30
     0.582292  2.15127e-30
     0.583542  2.13326e-30
     0.584794  2.11524e-30
     0.586049  2.09717e-30
     0.587306  2.07999e-30
     0.588566  2.06398e-30
     0.589829  2.04946e-30
     0.591095  2.03611e-30
     0.592363  2.02444e-30
     0.593634  2.01509e-30
     0.594908  2.00766e-30
     0.596184  2.00217e-30
     0.597463  1.99881e-30
     0.598745  1.99822e-30
     0.600030  1.99990e-30
     0.601317  2.00358e-30
     0.602607  2.00917e-30
     0.603900  2.01694e-30
     0.605196  2.02680e-30
     0.606495  2.03828e-30
     0.607796  2.05124e-30
     0.609100  2.06557e-30
     0.610407  2.08184e-30
     0.611717  2.09975e-30
     0.613029  2.11856e-30
     0.614344  2.13865e-30
     0.615663  2.16000e-30
     0.616984  2.18263e-30
     0.618307  2.20688e-30
     0.619634  2.23189e-30
     0.620964  2.25797e-30
     0.622296  2.28503e-30
     0.623631  2.31296e-30
     0.624969  2.34186e-30
     0.626310  2.37153e-30
     0.627654  2.40181e-30
     0.629001  2.43248e-30
     0.630350  2.46331e-30
     0.631703  2.49421e-30
     0.633058  2.52506e-30
     0.634416  2.55571e-30
     0.635778  2.58599e-30
     0.637142  2.61600e-30
     0.638509  2.64552e-30
     0.639879  2.67435e-30
     0.641252  2.70222e-30
     0.642627  2.72891e-30
     0.644006  2.75432e-30
     0.645388  2.77828e-30
     0.646773  2.80068e-30
     0.648161  2.82185e-30
     0.649551  2.84193e-30
     0.650945  2.86038e-30
     0.652342  2.87671e-30
     0.653741  2.89078e-30
     0.655144  2.90240e-30
     0.656550  2.91154e-30
     0.657958  2.91867e-30
     0.659370  2.92415e-30
     0.660785  2.92753e-30
     0.662203  2.92822e-30
     0.663623  2.92609e-30
     0.665047  2.92087e-30
     0.666474  2.91288e-30
     0.667904  2.90276e-30
     0.669337  2.89066e-30
     0.670773  2.87608e-30
     0.672213  2.85877e-30
     0.673655  2.83901e-30
     0.675100  2.81701e-30
     0.676549  2.79328e-30
     0.678001  2.76789e-30
     0.679455  2.74068e-30
     0.680913  2.71211e-30
     0.682374  2.68270e-30
     0.683838  2.65317e-30
     0.685305  2.62347e-30
     0.686776  2.59302e-30
     0.688249  2.56274e-30
     0.689726  2.53366e-30
     0.691206  2.50652e-30
     0.692689  2.48189e-30
     0.694175  2.45886e-30
     0.695665  2.43708e-30
     0.697157  2.41846e-30
     0.698653  2.40349e-30
     0.700152  2.39253e-30
     0.701654  2.38519e-30
     0.703160  2.38057e-30
     0.704669  2.37988e-30
     0.706181  2.38315e-30
     0.707696  2.39031e-30
     0.709214  2.40106e-30
     0.710736  2.41487e-30
     0.712261  2.43159e-30
     0.713789  2.45098e-30
     0.715321  2.47264e-30
     0.716856  2.49646e-30
     0.718394  2.52217e-30
     0.719935  2.54921e-30
     0.721480  2.57722e-30
     0.723028  2.60594e-30
     0.724579  2.63518e-30
     0.726134  2.66484e-30
     0.727692  2.69451e-30
     0.729253  2.72429e-30
     0.730818  2.75430e-30
     0.732386  2.78413e-30
