*  HeII bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.193506  6.03696e-30
     0.193922  6.04768e-30
     0.194338  6.05831e-30
     0.194755  6.06885e-30
     0.195172  6.07931e-30
     0.195591  6.08962e-30
     0.196011  6.09985e-30
     0.196431  6.11001e-30
     0.196853  6.12004e-30
     0.197275  6.12997e-30
     0.197699  6.13965e-30
     0.198123  6.14916e-30
     0.198548  6.15994e-30
     0.198974  6.17099e-30
     0.199401  6.18054e-30
     0.199829  6.19003e-30
     0.200257  6.19965e-30
     0.200687  6.20918e-30
     0.201118  6.21925e-30
     0.201549  6.22927e-30
     0.201982  6.23887e-30
     0.202415  6.24858e-30
     0.202849  6.25834e-30
     0.203285  6.26821e-30
     0.203721  6.27838e-30
     0.204158  6.28856e-30
     0.204596  6.29877e-30
     0.205035  6.30916e-30
     0.205475  6.31971e-30
     0.205916  6.33013e-30
     0.206357  6.34051e-30
     0.206800  6.35148e-30
     0.207244  6.36270e-30
     0.207689  6.37389e-30
     0.208134  6.38523e-30
     0.208581  6.39671e-30
     0.209028  6.40828e-30
     0.209477  6.41993e-30
     0.209926  6.43168e-30
     0.210377  6.44352e-30
     0.210828  6.45540e-30
     0.211280  6.46733e-30
     0.211734  6.47925e-30
     0.212188  6.49117e-30
     0.212643  6.50314e-30
     0.213100  6.51504e-30
     0.213557  6.52684e-30
     0.214015  6.53860e-30
     0.214474  6.55033e-30
     0.214934  6.56196e-30
     0.215396  6.57346e-30
     0.215858  6.58494e-30
     0.216321  6.59629e-30
     0.216785  6.60740e-30
     0.217250  6.61839e-30
     0.217716  6.62922e-30
     0.218183  6.63986e-30
     0.218652  6.65041e-30
     0.219121  6.66081e-30
     0.219591  6.67103e-30
     0.220062  6.68113e-30
     0.220534  6.69095e-30
     0.221007  6.70092e-30
     0.221481  6.71136e-30
     0.221957  6.72126e-30
     0.222433  6.73077e-30
     0.222910  6.74034e-30
     0.223388  6.74967e-30
     0.223868  6.76010e-30
     0.224348  6.77150e-30
     0.224829  6.78148e-30
     0.225312  6.79106e-30
     0.225795  6.80100e-30
     0.226280  6.81094e-30
     0.226765  6.82102e-30
     0.227252  6.83132e-30
     0.227739  6.84173e-30
     0.228228  6.85204e-30
     0.228718  6.86254e-30
     0.229208  6.87351e-30
     0.229700  6.88471e-30
     0.230193  6.89612e-30
     0.230687  6.90771e-30
     0.231182  6.91938e-30
     0.231678  6.93138e-30
     0.232175  6.94371e-30
     0.232673  6.95608e-30
     0.233173  6.96854e-30
     0.233673  6.98121e-30
     0.234174  6.99409e-30
     0.234677  7.00702e-30
     0.235180  7.01998e-30
     0.235685  7.03304e-30
     0.236190  7.04614e-30
     0.236697  7.05924e-30
     0.237205  7.07230e-30
     0.237714  7.08535e-30
     0.238224  7.09838e-30
     0.238735  7.11131e-30
     0.239247  7.12410e-30
     0.239761  7.13680e-30
     0.240275  7.14931e-30
     0.240791  7.16162e-30
     0.241307  7.17415e-30
     0.241825  7.18642e-30
     0.242344  7.19814e-30
     0.242864  7.20973e-30
     0.243385  7.22105e-30
     0.243907  7.23223e-30
     0.244431  7.24366e-30
     0.244955  7.25462e-30
     0.245481  7.26500e-30
     0.246007  7.27521e-30
     0.246535  7.28528e-30
     0.247064  7.29520e-30
     0.247594  7.30500e-30
     0.248125  7.31465e-30
     0.248658  7.32415e-30
     0.249191  7.33356e-30
     0.249726  7.34300e-30
     0.250262  7.35247e-30
     0.250799  7.36184e-30
     0.251337  7.37105e-30
     0.251876  7.38058e-30
     0.252417  7.38992e-30
     0.252958  7.39900e-30
     0.253501  7.41030e-30
     0.254045  7.42206e-30
     0.254590  7.43228e-30
     0.255136  7.44278e-30
     0.255684  7.45375e-30
     0.256232  7.46489e-30
     0.256782  7.47632e-30
     0.257333  7.48804e-30
     0.257885  7.50006e-30
     0.258438  7.51236e-30
     0.258993  7.52497e-30
     0.259549  7.53787e-30
     0.260106  7.55104e-30
     0.260664  7.56444e-30
     0.261223  7.57818e-30
     0.261783  7.59224e-30
     0.262345  7.60640e-30
     0.262908  7.62064e-30
     0.263472  7.63511e-30
     0.264037  7.64999e-30
     0.264604  7.66480e-30
     0.265172  7.67946e-30
     0.265741  7.69419e-30
     0.266311  7.70887e-30
     0.266882  7.72349e-30
     0.267455  7.73802e-30
     0.268029  7.75234e-30
     0.268604  7.76664e-30
     0.269180  7.78085e-30
     0.269758  7.79454e-30
     0.270336  7.80833e-30
     0.270916  7.82216e-30
     0.271498  7.83515e-30
     0.272080  7.84773e-30
     0.272664  7.86001e-30
     0.273249  7.87177e-30
     0.273835  7.88327e-30
     0.274423  7.89452e-30
     0.275012  7.90540e-30
     0.275602  7.91587e-30
     0.276193  7.92602e-30
     0.276786  7.93592e-30
     0.277380  7.94553e-30
     0.277975  7.95487e-30
     0.278571  7.96399e-30
     0.279169  7.97294e-30
     0.279768  7.98171e-30
     0.280368  7.99040e-30
     0.280970  7.99907e-30
     0.281573  8.00735e-30
     0.282177  8.01567e-30
     0.282782  8.02447e-30
     0.283389  8.03343e-30
     0.283997  8.04261e-30
     0.284606  8.05205e-30
     0.285217  8.06151e-30
     0.285829  8.07130e-30
     0.286442  8.08153e-30
     0.287057  8.09203e-30
     0.287673  8.10299e-30
     0.288290  8.11425e-30
     0.288908  8.12612e-30
     0.289528  8.14042e-30
     0.290150  8.15508e-30
     0.290772  8.16829e-30
     0.291396  8.18199e-30
     0.292021  8.19626e-30
     0.292648  8.21083e-30
     0.293276  8.22595e-30
     0.293905  8.24144e-30
     0.294536  8.25721e-30
     0.295167  8.27331e-30
     0.295801  8.28964e-30
     0.296435  8.30621e-30
     0.297071  8.32300e-30
     0.297709  8.33975e-30
     0.298348  8.35661e-30
     0.298988  8.37363e-30
     0.299629  8.39047e-30
     0.300272  8.40765e-30
     0.300916  8.42502e-30
     0.301562  8.44160e-30
     0.302209  8.45778e-30
     0.302858  8.47375e-30
     0.303507  8.48932e-30
     0.304159  8.50455e-30
     0.304811  8.51937e-30
     0.305465  8.53367e-30
     0.306121  8.54748e-30
     0.306777  8.56078e-30
     0.307436  8.57351e-30
     0.308095  8.58562e-30
     0.308756  8.59734e-30
     0.309419  8.60863e-30
     0.310083  8.61924e-30
     0.310748  8.62930e-30
     0.311415  8.63894e-30
     0.312083  8.64816e-30
     0.312753  8.65694e-30
     0.313424  8.66541e-30
     0.314096  8.67358e-30
     0.314770  8.68108e-30
     0.315445  8.68850e-30
     0.316122  8.69613e-30
     0.316800  8.70355e-30
     0.317480  8.71119e-30
     0.318161  8.71904e-30
     0.318844  8.72670e-30
     0.319528  8.73448e-30
     0.320214  8.74257e-30
     0.320901  8.75097e-30
     0.321589  8.75973e-30
     0.322279  8.76890e-30
     0.322971  8.77852e-30
     0.323664  8.78866e-30
     0.324358  8.79940e-30
     0.325054  8.81068e-30
     0.325752  8.82243e-30
     0.326451  8.83488e-30
     0.327151  8.84810e-30
     0.327853  8.86189e-30
     0.328556  8.87628e-30
     0.329261  8.89137e-30
     0.329968  8.90704e-30
     0.330676  8.92282e-30
     0.331385  8.94066e-30
     0.332096  8.96073e-30
     0.332809  8.97925e-30
     0.333523  8.99708e-30
     0.334239  9.01589e-30
     0.334956  9.03569e-30
     0.335674  9.05535e-30
     0.336395  9.07483e-30
     0.337116  9.09484e-30
     0.337840  9.11468e-30
     0.338565  9.13427e-30
     0.339291  9.15382e-30
     0.340019  9.17316e-30
     0.340749  9.19227e-30
     0.341480  9.21110e-30
     0.342212  9.22948e-30
     0.342947  9.24743e-30
     0.343682  9.26492e-30
     0.344420  9.28175e-30
     0.345159  9.29797e-30
     0.345899  9.31359e-30
     0.346642  9.32855e-30
     0.347385  9.34283e-30
     0.348131  9.35630e-30
     0.348878  9.36903e-30
     0.349626  9.38141e-30
     0.350376  9.39297e-30
     0.351128  9.40355e-30
     0.351882  9.41363e-30
     0.352636  9.42262e-30
     0.353393  9.43070e-30
     0.354151  9.43885e-30
     0.354911  9.44661e-30
     0.355673  9.45382e-30
     0.356436  9.46064e-30
     0.357201  9.46692e-30
     0.357967  9.47296e-30
     0.358735  9.47905e-30
     0.359505  9.48498e-30
     0.360276  9.49087e-30
     0.361049  9.49686e-30
     0.361824  9.50294e-30
     0.362600  9.50923e-30
     0.363378  9.51587e-30
     0.364158  9.52295e-30
     0.364939  9.53046e-30
     0.365722  9.53846e-30
     0.366507  9.54703e-30
     0.367293  9.55621e-30
     0.368081  9.56624e-30
     0.368871  9.57720e-30
     0.369663  9.58873e-30
     0.370456  9.60103e-30
     0.371251  9.61428e-30
     0.372047  9.62845e-30
     0.372845  9.64347e-30
     0.373645  9.65921e-30
     0.374447  9.67575e-30
     0.375251  9.69385e-30
     0.376056  9.71287e-30
     0.376863  9.73195e-30
     0.377671  9.75175e-30
     0.378481  9.77227e-30
     0.379294  9.79340e-30
     0.380107  9.81525e-30
     0.380923  9.83703e-30
     0.381740  9.85982e-30
     0.382559  9.88564e-30
     0.383380  9.91034e-30
     0.384203  9.93325e-30
     0.385027  9.95674e-30
     0.385853  9.98010e-30
     0.386681  1.00033e-29
     0.387511  1.00266e-29
     0.388342  1.00494e-29
     0.389175  1.00716e-29
     0.390010  1.00932e-29
     0.390847  1.01142e-29
     0.391686  1.01345e-29
     0.392526  1.01539e-29
     0.393368  1.01724e-29
     0.394213  1.01900e-29
     0.395058  1.02069e-29
     0.395906  1.02229e-29
     0.396755  1.02378e-29
     0.397607  1.02513e-29
     0.398460  1.02633e-29
     0.399315  1.02749e-29
     0.400171  1.02856e-29
     0.401030  1.02952e-29
     0.401891  1.03038e-29
     0.402753  1.03115e-29
     0.403617  1.03182e-29
     0.404483  1.03240e-29
     0.405351  1.03294e-29
     0.406221  1.03342e-29
     0.407092  1.03380e-29
     0.407966  1.03413e-29
     0.408841  1.03444e-29
     0.409718  1.03470e-29
     0.410597  1.03496e-29
     0.411478  1.03521e-29
     0.412361  1.03545e-29
     0.413246  1.03572e-29
     0.414133  1.03602e-29
     0.415021  1.03636e-29
     0.415912  1.03675e-29
     0.416804  1.03720e-29
     0.417698  1.03774e-29
     0.418595  1.03835e-29
     0.419493  1.03907e-29
     0.420393  1.03988e-29
     0.421295  1.04081e-29
     0.422199  1.04193e-29
     0.423105  1.04316e-29
     0.424012  1.04445e-29
     0.424922  1.04588e-29
     0.425834  1.04745e-29
     0.426748  1.04914e-29
     0.427663  1.05097e-29
     0.428581  1.05296e-29
     0.429500  1.05508e-29
     0.430422  1.05730e-29
     0.431345  1.05963e-29
     0.432271  1.06208e-29
     0.433198  1.06463e-29
     0.434128  1.06724e-29
     0.435059  1.06996e-29
     0.435993  1.07277e-29
     0.436928  1.07562e-29
     0.437866  1.07852e-29
     0.438805  1.08145e-29
     0.439747  1.08440e-29
     0.440690  1.08735e-29
     0.441636  1.09030e-29
     0.442583  1.09324e-29
     0.443533  1.09606e-29
     0.444485  1.09906e-29
     0.445438  1.10222e-29
     0.446394  1.10498e-29
     0.447352  1.10754e-29
     0.448312  1.11007e-29
     0.449274  1.11248e-29
     0.450238  1.11468e-29
     0.451204  1.11675e-29
     0.452172  1.11875e-29
     0.453142  1.12061e-29
     0.454114  1.12230e-29
     0.455089  1.12384e-29
     0.456065  1.12520e-29
     0.457044  1.12641e-29
     0.458024  1.12745e-29
     0.459007  1.12834e-29
     0.459992  1.12907e-29
     0.460979  1.12964e-29
     0.461968  1.13007e-29
     0.462959  1.13036e-29
     0.463952  1.13053e-29
     0.464948  1.13058e-29
     0.465945  1.13052e-29
     0.466945  1.13039e-29
     0.467947  1.13018e-29
     0.468951  1.12990e-29
     0.469957  1.12957e-29
     0.470966  1.12922e-29
     0.471976  1.12888e-29
     0.472989  1.12853e-29
     0.474004  1.12821e-29
     0.475021  1.12793e-29
     0.476040  1.12770e-29
     0.477061  1.12760e-29
     0.478085  1.12769e-29
     0.479111  1.12781e-29
     0.480139  1.12797e-29
     0.481169  1.12829e-29
     0.482201  1.12879e-29
     0.483236  1.12945e-29
     0.484273  1.13027e-29
     0.485312  1.13130e-29
     0.486353  1.13250e-29
     0.487397  1.13389e-29
     0.488442  1.13548e-29
     0.489490  1.13728e-29
     0.490541  1.13927e-29
     0.491593  1.14146e-29
     0.492648  1.14387e-29
     0.493705  1.14646e-29
     0.494764  1.14921e-29
     0.495826  1.15213e-29
     0.496890  1.15521e-29
     0.497956  1.15844e-29
     0.499024  1.16180e-29
     0.500095  1.16529e-29
     0.501168  1.16888e-29
     0.502243  1.17255e-29
     0.503321  1.17629e-29
     0.504401  1.18007e-29
     0.505483  1.18387e-29
     0.506567  1.18770e-29
     0.507654  1.19151e-29
     0.508744  1.19528e-29
     0.509835  1.19901e-29
     0.510929  1.20266e-29
     0.512025  1.20621e-29
     0.513124  1.20965e-29
     0.514225  1.21289e-29
     0.515328  1.21598e-29
     0.516434  1.21898e-29
     0.517542  1.22184e-29
     0.518652  1.22443e-29
     0.519765  1.22685e-29
     0.520880  1.22944e-29
     0.521998  1.23173e-29
     0.523118  1.23349e-29
     0.524241  1.23505e-29
     0.525365  1.23641e-29
     0.526493  1.23754e-29
     0.527622  1.23843e-29
     0.528754  1.23908e-29
     0.529889  1.23953e-29
     0.531026  1.23977e-29
     0.532165  1.23981e-29
     0.533307  1.23967e-29
     0.534451  1.23940e-29
     0.535598  1.23894e-29
     0.536747  1.23831e-29
     0.537899  1.23757e-29
     0.539053  1.23672e-29
     0.540209  1.23579e-29
     0.541369  1.23478e-29
     0.542530  1.23372e-29
     0.543694  1.23275e-29
     0.544861  1.23181e-29
     0.546030  1.23081e-29
     0.547201  1.22984e-29
     0.548375  1.22893e-29
     0.549552  1.22811e-29
     0.550731  1.22741e-29
     0.551913  1.22685e-29
     0.553097  1.22644e-29
     0.554284  1.22619e-29
     0.555473  1.22615e-29
     0.556665  1.22631e-29
     0.557859  1.22667e-29
     0.559056  1.22727e-29
     0.560256  1.22811e-29
     0.561458  1.22919e-29
     0.562662  1.23052e-29
     0.563870  1.23210e-29
     0.565080  1.23393e-29
     0.566292  1.23605e-29
     0.567507  1.23841e-29
     0.568725  1.24102e-29
     0.569945  1.24388e-29
     0.571168  1.24697e-29
     0.572393  1.25029e-29
     0.573622  1.25384e-29
     0.574852  1.25758e-29
     0.576086  1.26149e-29
     0.577322  1.26557e-29
     0.578560  1.26982e-29
     0.579802  1.27418e-29
     0.581046  1.27865e-29
     0.582292  1.28320e-29
     0.583542  1.28782e-29
     0.584794  1.29247e-29
     0.586049  1.29714e-29
     0.587306  1.30183e-29
     0.588566  1.30645e-29
     0.589829  1.31093e-29
     0.591095  1.31541e-29
     0.592363  1.31984e-29
     0.593634  1.32414e-29
     0.594908  1.32829e-29
     0.596184  1.33226e-29
     0.597463  1.33602e-29
     0.598745  1.33960e-29
     0.600030  1.34303e-29
     0.601317  1.34625e-29
     0.602607  1.34916e-29
     0.603900  1.35181e-29
     0.605196  1.35421e-29
     0.606495  1.35638e-29
     0.607796  1.35824e-29
     0.609100  1.35980e-29
     0.610407  1.36109e-29
     0.611717  1.36213e-29
     0.613029  1.36282e-29
     0.614344  1.36336e-29
     0.615663  1.36405e-29
     0.616984  1.36426e-29
     0.618307  1.36393e-29
     0.619634  1.36344e-29
     0.620964  1.36285e-29
     0.622296  1.36206e-29
     0.623631  1.36100e-29
     0.624969  1.35977e-29
     0.626310  1.35841e-29
     0.627654  1.35693e-29
     0.629001  1.35537e-29
     0.630350  1.35372e-29
     0.631703  1.35202e-29
     0.633058  1.35029e-29
     0.634416  1.34856e-29
     0.635778  1.34684e-29
     0.637142  1.34517e-29
     0.638509  1.34357e-29
     0.639879  1.34207e-29
     0.641252  1.34069e-29
     0.642627  1.33944e-29
     0.644006  1.33834e-29
     0.645388  1.33744e-29
     0.646773  1.33675e-29
     0.648161  1.33627e-29
     0.649551  1.33603e-29
     0.650945  1.33608e-29
     0.652342  1.33637e-29
     0.653741  1.33693e-29
     0.655144  1.33779e-29
     0.656550  1.33894e-29
     0.657958  1.34039e-29
     0.659370  1.34216e-29
     0.660785  1.34425e-29
     0.662203  1.34665e-29
     0.663623  1.34937e-29
     0.665047  1.35239e-29
     0.666474  1.35569e-29
     0.667904  1.35927e-29
     0.669337  1.36316e-29
     0.670773  1.36734e-29
     0.672213  1.37176e-29
     0.673655  1.37643e-29
     0.675100  1.38132e-29
     0.676549  1.38650e-29
     0.678001  1.39189e-29
     0.679455  1.39727e-29
     0.680913  1.40280e-29
     0.682374  1.40856e-29
     0.683838  1.41440e-29
     0.685305  1.42029e-29
     0.686776  1.42622e-29
     0.688249  1.43216e-29
     0.689726  1.43809e-29
     0.691206  1.44396e-29
     0.692689  1.44976e-29
     0.694175  1.45546e-29
     0.695665  1.46102e-29
     0.697157  1.46643e-29
     0.698653  1.47166e-29
     0.700152  1.47668e-29
     0.701654  1.48146e-29
     0.703160  1.48597e-29
     0.704669  1.49021e-29
     0.706181  1.49415e-29
     0.707696  1.49776e-29
     0.709214  1.50106e-29
     0.710736  1.50399e-29
     0.712261  1.50654e-29
     0.713789  1.50886e-29
     0.715321  1.51078e-29
     0.716856  1.51220e-29
     0.718394  1.51323e-29
     0.719935  1.51386e-29
     0.721480  1.51409e-29
     0.723028  1.51398e-29
     0.724579  1.51348e-29
     0.726134  1.51259e-29
     0.727692  1.51134e-29
     0.729253  1.50978e-29
     0.730818  1.50781e-29
     0.732386  1.50559e-29
     0.733957  1.50359e-29
     0.735532  1.50124e-29
     0.737110  1.49823e-29
     0.738692  1.49509e-29
     0.740277  1.49182e-29
     0.741865  1.48838e-29
     0.743457  1.48485e-29
     0.745052  1.48127e-29
     0.746650  1.47767e-29
     0.748253  1.47407e-29
     0.749858  1.47047e-29
     0.751467  1.46696e-29
     0.753079  1.46362e-29
     0.754695  1.46043e-29
     0.756314  1.45747e-29
     0.757937  1.45475e-29
     0.759563  1.45226e-29
     0.761193  1.45005e-29
     0.762826  1.44815e-29
     0.764463  1.44664e-29
     0.766103  1.44559e-29
     0.767747  1.44495e-29
     0.769394  1.44469e-29
     0.771045  1.44488e-29
     0.772699  1.44554e-29
     0.774357  1.44669e-29
     0.776019  1.44835e-29
     0.777684  1.45051e-29
     0.779352  1.45318e-29
     0.781025  1.45637e-29
     0.782700  1.46005e-29
